Correct	Incorrect	Add to	Notes	Original Order
90th American Meteorological Society Annual Meeting	Proceedings of the 90th AMS Annual Meeting/14th IOAS-AOLS	"OSGC-000-000-001-276
OSGC-000-000-001-262
OSGC-000-000-001-261"		27
BACIMO Conference 2010	Proceedings of the BACIMO Conference			28
BACIMO Conference 2010	Proceedings of the BACIMO conference			29
4th HELAS International Conference	Proceedings of the Fourth HELAS International Conference			30
4th HELAS International Conference	Proceedings of the HELAS IV International Conference			31
4th HELAS International Conference	Proceedings of the HELAS IV meeting			32
4th HELAS International Conference	Proceedings of the HELAS-IV International Conference			33
Quality and Reliability of Large-Eddy Simulations II	Proceedings of the Quality and Reliability of Large-Eddy Simulations II 2009 Workshop			34
Proceedings of SPIE: Software and Cyberinfrastructure for Astronomy	"Proceedings of the SPIE, Software and Cyberinfrastructure for Astronomy"			35
National Radio Science Meeting	Proceedings of the URSI National Radio Science Meeting	OSGC-000-000-001-273		36
Proceedings of the National Technical Meeting	Proceeings of the 2009 National Technical Meeting of the Institute of Navigation			45
SOHO-23: Understanding a Peculiar Solar Minimum	SOHO-23: Understanding a Peculiar Solar Minimum ASP Conference Series			37
Solar-Stellar Dynamos as Revealed by Helio- and Asteroseismology: GONG 2008/SOHO 21	"Solar and Stellar Variability: Impact on Earth and Planets, Proceedings of the International Astronomical Union, IAU Symposium"			38
Solar-Stellar Dynamos as Revealed by Helio- and Asteroseismology: GONG 2008/SOHO 21	Solar-Stellar Dynamos as Revealed by Helio- and Asteroseismology: GONG 2008/SOHO 21 ASP Conference Series			39
Memorie della Societa Astronomica Italiana	The Proceedings of the 25th NSO Workshop on Chromospheric Structure and Dynamics			40
The Second Hinode Science Meeting: Beyond Discovery-Toward Understanding	THE SECOND HINODE SCIENCE MEETING ASP Conference Series			41
The Second Hinode Science Meeting: Beyond Discovery-Toward Understanding	The Second Hinode Science Meeting: Beyond Discovery-Toward Understanding ASP Conference Series			42
Twelfth International Solar Wind Conference	"Twelfth International Solar Wind Conference, AIP"			43
Twelfth International Solar Wind Conference	"Twelfth International Solar Wind Conference, AIP Conference Proceedings"			44
"American Geophysical Union, Fall Meeting 2009"		OSGC-000-000-001-272		49
29th Conference on Hurricanes and Tropical Meteorology				51
4th Federal Interagency Hydrologic Modeling Conference				
Proceedings of the 5th Grid Computing Environments Workshop				
Proceedings of SPIE				
29th Conference on Agricultural and Forest Meteorology 19th Symposium on Boundary Layers and Turbulence Ninth Symposium on the Urban Environment		"OSGC-000-000-001-250
OSGC-000-000-001-267"		
34th Conference on Radar Meteorology		"OSGC-000-000-001-275
OSGC-000-000-001-274
OSGC-000-000-001-270
OSGC-000-000-001-269
OSGC-000-000-001-207
OSGC-000-000-001-245
OSGC-000-000-001-249
OSGC-000-000-001-242
OSGC-000-000-001-243
OSGC-000-000-001-251     "		
15th Conference on Applied Climatology/13th Symposium on Meteorological Observations and Instrumentation		"OSGC-000-000-001-264
OSGC-000-000-001-241 "		
"8th International Symposium on Tropospheric Profiling: Integration of Needs, Technologies and Applications"		"OSGC-000-000-001-268
OSGC-000-000-001-266
OSGC-000-000-001-265
OSGC-000-000-001-240 "		
6th European Conference on Radar in Meteorology and Hydrology		"OSGC-000-000-001-263
OSGC-000-000-001-247"		
2nd SoWMEX/TiMREX Science Workshop		"OSGC-000-000-001-260
OSGC-000-000-001-259"		
LACSEA 2009 Eleventh Topical Meeting		OSGC-000-000-001-244		
25th International Laser Radar Conference		OSGC-000-000-001-239		
5th European Conference on Severe Storms		OSGC-000-000-001-248		
Optical Turbulence: Astronomy Meets Meteorology				
