Lexicon	ID	Term	Author	Status	Date Created	Last Modified
socst	7392	18th Century :: Americas :: General :: Society :: Slavery		on	7/6/2010 11:40	7/6/2010 11:40
socst	7325	18th Century :: Asia :: China :: Arts :: General		on	7/6/2010 10:45	7/6/2010 10:45
socst	7324	18th Century :: Asia :: China :: Economics :: General		on	7/6/2010 10:44	7/6/2010 10:44
socst	7413	18th Century :: Asia :: China :: Economics :: Industry and Commerce		on	7/6/2010 11:52	7/6/2010 11:52
socst	7411	18th Century :: Asia :: China :: Politics :: General		on	7/6/2010 11:50	7/6/2010 11:50
socst	7412	18th Century :: Asia :: China :: Society :: General		on	7/6/2010 11:51	7/6/2010 11:51
socst	7317	18th Century :: Asia :: General :: Territorial Expansion		on	7/6/2010 10:41	7/6/2010 10:41
socst	7407	18th Century :: Asia :: India :: Economics :: Industry and Commerce		on	7/6/2010 11:49	7/6/2010 11:49
socst	7320	18th Century :: Asia :: India :: Military		on	7/6/2010 10:42	7/6/2010 10:42
socst	7409	18th Century :: Asia :: India :: Politics :: General		on	7/6/2010 11:49	7/6/2010 11:49
socst	7415	18th Century :: Asia :: Southeast Asia :: Society :: Immigration		on	7/6/2010 12:59	7/6/2010 12:59
socst	7385	18th Century :: Europe :: England :: Economics :: Agriculture		on	7/6/2010 11:36	7/6/2010 11:36
socst	7384	18th Century :: Europe :: England :: Economics :: Industry and Commerce		on	7/6/2010 11:34	7/6/2010 11:34
socst	7265	18th Century :: Europe :: England :: Military		on	7/6/2010 10:01	7/6/2010 10:01
socst	7387	18th Century :: Europe :: England :: Politics :: General		on	7/6/2010 11:38	7/6/2010 11:38
socst	7390	18th Century :: Europe :: General :: Society :: Labor Movement		on	7/6/2010 11:39	7/6/2010 11:39
socst	7494	18th Century :: Europe :: General :: Territorial Expansion		on	7/6/2010 13:50	7/6/2010 13:50
socst	7386	18th Century :: Europe :: Western Europe :: Economics :: Agriculture		on	7/6/2010 11:37	7/6/2010 11:37
socst	7388	18th Century :: Europe :: Western Europe :: Politics :: General		on	7/6/2010 11:38	7/6/2010 11:38
socst	7485	18th Century :: Global :: Economics :: Industry and Commerce		on	7/6/2010 13:45	7/6/2010 13:45
socst	7300	18th Century :: Global :: Military		on	7/6/2010 10:28	7/6/2010 10:28
socst	7340	18th Century :: Global :: Politics :: General		on	7/6/2010 11:00	7/6/2010 11:00
socst	7491	18th Century :: Global :: Society :: General		on	7/6/2010 13:49	7/6/2010 13:49
socst	7488	18th Century :: Global :: Society :: Immigration		on	7/6/2010 13:47	7/6/2010 13:47
socst	7497	18th Century :: Global :: Society :: Religion		on	7/6/2010 13:53	7/6/2010 13:53
socst	7389	18th Century :: United States :: General :: Politics :: General		on	7/6/2010 11:39	7/6/2010 11:39
socst	7368	1920s :: United States :: General :: Arts :: General		on	7/6/2010 11:23	7/6/2010 11:23
socst	7366	1920s :: United States :: General :: Economics :: Agriculture		on	7/6/2010 11:21	7/6/2010 11:21
socst	7364	1920s :: United States :: General :: Economics :: Industry and Commerce		on	7/6/2010 11:20	7/6/2010 11:20
socst	7369	1920s :: United States :: General :: Education		on	7/6/2010 11:24	7/6/2010 11:24
socst	7367	1920s :: United States :: General :: Language and Communication		on	7/6/2010 11:22	7/6/2010 11:22
socst	7359	1920s :: United States :: General :: Politics :: General		on	7/6/2010 11:17	7/6/2010 11:17
socst	6162	1920s :: United States :: General :: Politics :: International Relations	WGBH	on	2/17/2010 9:41	6/21/2010 14:35
socst	6163	1920s :: United States :: General :: Politics :: Law	WGBH	on	2/17/2010 9:41	6/21/2010 14:39
socst	6164	1920s :: United States :: General :: Science :: General	WGBH	on	2/17/2010 9:41	6/21/2010 14:40
socst	7365	1920s :: United States :: General :: Science :: Technology :: General		on	7/6/2010 11:20	7/6/2010 11:20
socst	7363	1920s :: United States :: General :: Science :: Technology :: Transportation		on	7/6/2010 11:19	7/6/2010 11:19
socst	7360	1920s :: United States :: General :: Society :: African Americans		on	7/6/2010 11:18	7/6/2010 11:18
socst	6165	1920s :: United States :: General :: Society :: General	WGBH	on	2/17/2010 9:41	6/21/2010 14:40
socst	7358	1920s :: United States :: General :: Society :: Immigration		on	7/6/2010 11:17	7/6/2010 11:17
socst	7361	1920s :: United States :: General :: Society :: Religion		on	7/6/2010 11:18	7/6/2010 11:18
socst	7357	1920s :: United States :: General :: Society :: Women		on	7/6/2010 11:16	7/6/2010 11:16
socst	7362	1920s :: United States :: General :: Urbanism		on	7/6/2010 11:19	7/6/2010 11:19
socst	6161	1920s :: United States :: Massachusetts :: Society :: Labor Movement	WGBH	on	2/17/2010 9:41	6/21/2010 14:35
socst	6395	1960s and 1970s :: Middle East :: General :: Politics :: General	DF	on	2/18/2010 10:23	2/18/2010 10:23
socst	6396	1960s and 1970s :: Middle East :: General :: Society :: Religion	DF	on	2/18/2010 10:23	2/18/2010 10:23
socst	6168	1960s and 1970s :: United States :: General :: Military	WGBH	on	2/17/2010 9:41	6/21/2010 14:12
socst	6170	1960s and 1970s :: United States :: General :: Politics :: International Relations	WGBH	on	2/17/2010 9:41	6/21/2010 14:12
socst	6171	1960s and 1970s :: United States :: General :: Politics :: Law	WGBH	on	2/17/2010 9:41	6/21/2010 14:13
socst	6172	1960s and 1970s :: United States :: General :: Science :: Medicine	WGBH	on	2/17/2010 9:41	6/21/2010 14:13
socst	6173	1960s and 1970s :: United States :: General :: Science :: Technology	WGBH	on	2/17/2010 9:41	6/21/2010 14:13
socst	6174	1960s and 1970s :: United States :: General :: Society :: Civil Rights	WGBH	on	2/17/2010 9:41	6/21/2010 14:13
socst	6175	1960s and 1970s :: United States :: General :: Society :: Women	WGBH	on	2/17/2010 9:41	6/21/2010 14:14
socst	6166	1960s and 1970s :: United States :: General :: Economics :: General	WGBH	on	2/17/2010 9:41	6/21/2010 14:11
socst	6167	1960s and 1970s :: United States :: General :: Environment	WGBH	on	2/17/2010 9:41	6/21/2010 14:18
socst	6169	1960s and 1970s :: United States :: General :: Politics :: General	WGBH	on	2/17/2010 9:41	6/21/2010 14:17
socst	6791	1960s and 1970s :: United States :: General :: Society :: Immigration		on	6/21/2010 15:53	6/21/2010 15:53
socst	6397	1980s and 1990s :: Africa :: General :: Science :: Medicine	DF	on	2/18/2010 10:24	2/18/2010 10:24
socst	6398	1980s and 1990s :: Africa :: Rwanda :: Society :: General	DF	on	2/18/2010 10:24	2/18/2010 10:24
socst	6399	1980s and 1990s :: Africa :: South Africa :: Politics :: General	DF	on	2/18/2010 10:24	2/18/2010 10:24
socst	6400	1980s and 1990s :: Africa :: Sudan :: Society :: General	DF	on	2/18/2010 10:25	2/18/2010 10:25
socst	6401	1980s and 1990s :: Asia :: General :: Science :: Medicine	DF	on	2/18/2010 10:25	2/18/2010 10:25
socst	6402	1980s and 1990s :: Asia :: Kashmir :: Society :: General	DF	on	2/18/2010 10:25	2/18/2010 10:25
socst	6403	1980s and 1990s :: Asia :: Sri Lanka :: Society :: General	DF	on	2/18/2010 10:25	2/18/2010 10:25
socst	6404	1980s and 1990s :: Europe :: Balkans :: Society :: General	DF	on	2/18/2010 10:26	2/18/2010 10:26
socst	6405	1980s and 1990s :: Europe :: Eastern Europe :: Politics :: General	DF	on	2/18/2010 10:26	2/18/2010 10:26
socst	6406	1980s and 1990s :: Europe :: Northern Ireland :: Society :: General	DF	on	2/18/2010 10:26	2/18/2010 10:26
socst	6407	1980s and 1990s :: Global :: Science :: Technology :: General	DF	on	2/18/2010 10:26	2/18/2010 10:26
socst	6408	1980s and 1990s :: Middle East :: General :: Politics :: General	DF	on	2/18/2010 10:27	2/18/2010 10:27
socst	6409	1980s and 1990s :: Middle East :: General :: Society :: Religion	DF	on	2/18/2010 10:27	2/18/2010 10:27
socst	6410	1980s and 1990s :: Soviet Union :: Politics :: General	DF	on	2/18/2010 10:27	2/18/2010 10:27
socst	6176	1980s and 1990s :: United States :: General :: Economics :: General	WGBH	on	2/17/2010 9:41	6/21/2010 14:20
socst	6177	1980s and 1990s :: United States :: General :: Education	WGBH	on	2/17/2010 9:41	6/21/2010 14:21
socst	6178	1980s and 1990s :: United States :: General :: Military	WGBH	on	2/17/2010 9:41	6/21/2010 14:22
socst	6179	1980s and 1990s :: United States :: General :: Politics :: General	WGBH	on	2/17/2010 9:41	6/21/2010 14:22
socst	6180	1980s and 1990s :: United States :: General :: Politics :: International Relations	WGBH	on	2/17/2010 9:41	6/21/2010 14:20
socst	6181	1980s and 1990s :: United States :: General :: Politics :: Law	WGBH	on	2/17/2010 9:41	6/21/2010 14:22
socst	6182	1980s and 1990s :: United States :: General :: Science :: Technology :: General	WGBH	on	2/17/2010 9:41	6/21/2010 14:24
socst	6792	1980s and 1990s :: United States :: General :: Society :: Immigration		on	6/21/2010 15:53	6/21/2010 15:53
socst	6183	1980s and 1990s :: United States :: General :: Society :: Labor Movement	WGBH	on	2/17/2010 9:41	6/21/2010 14:24
socst	7474	19th Century :: Africa :: East Africa :: Economics :: Industry and Commerce		on	7/6/2010 13:39	7/6/2010 13:39
socst	7473	19th Century :: Africa :: East Africa :: Society :: Slavery		on	7/6/2010 13:39	7/6/2010 13:39
socst	6411	19th Century :: Africa :: General :: Economics :: General	DF	on	2/18/2010 10:28	2/18/2010 10:28
socst	7483	19th Century :: Africa :: General :: Economics :: Industry and Commerce		on	7/6/2010 13:44	7/6/2010 13:44
socst	7475	19th Century :: Africa :: General :: Territorial Expansion		on	7/6/2010 13:39	7/6/2010 13:39
socst	7476	19th Century :: Africa :: South Africa :: Economics :: General		on	7/6/2010 13:40	7/6/2010 13:40
socst	7456	19th Century :: Africa :: South Africa :: Immigration :: General		on	7/6/2010 13:26	7/6/2010 13:26
socst	7477	19th Century :: Africa :: Southern Africa :: Society :: General		on	7/6/2010 13:40	7/6/2010 13:40
socst	7472	19th Century :: Africa :: West Africa :: Economics :: Industry and Commerce		on	7/6/2010 13:38	7/6/2010 13:38
socst	7471	19th Century :: Africa :: West Africa :: Society :: Slavery		on	7/6/2010 13:38	7/6/2010 13:38
socst	7482	19th Century :: Africa :: Zanzibar :: Economics :: Industry and Commerce		on	7/6/2010 13:44	7/6/2010 13:44
socst	7393	19th Century :: Americas :: General :: Economics :: Agriculture		on	7/6/2010 11:42	7/6/2010 11:42
socst	6975	19th Century :: Americas :: General :: Society :: Slavery		on	6/28/2010 9:45	6/28/2010 9:45
socst	7440	19th Century :: Americas :: Latin America :: Economics :: General		on	7/6/2010 13:17	7/6/2010 13:17
socst	7444	19th Century :: Americas :: Latin America :: Economics :: Industry and Commerce		on	7/6/2010 13:20	7/6/2010 13:20
socst	7435	19th Century :: Americas :: Latin America :: Education		on	7/6/2010 13:15	7/6/2010 13:15
socst	7439	19th Century :: Americas :: Latin America :: Society :: Immigration		on	7/6/2010 13:17	7/6/2010 13:17
socst	7437	19th Century :: Americas :: Latin America :: Society :: Native Americans		on	7/6/2010 13:16	7/6/2010 13:16
socst	7438	19th Century :: Americas :: Latin America :: Society :: Slavery		on	7/6/2010 13:16	7/6/2010 13:16
socst	7436	19th Century :: Americas :: Latin America :: Society :: Women		on	7/6/2010 13:15	7/6/2010 13:15
socst	7443	19th Century :: Americas :: Mexico :: Economics :: General		on	7/6/2010 13:19	7/6/2010 13:19
socst	7441	19th Century :: Americas :: Mexico :: Politics :: General		on	7/6/2010 13:18	7/6/2010 13:18
socst	7442	19th Century :: Americas :: Mexico :: Society :: General		on	7/6/2010 13:18	7/6/2010 13:18
socst	7455	19th Century :: Americas :: North America :: Immigration :: General		on	7/6/2010 13:26	7/6/2010 13:26
socst	7414	19th Century :: Asia :: China :: Economics :: Industry and Commerce		on	7/6/2010 11:52	7/6/2010 11:52
socst	6412	19th Century :: Asia :: China :: Military	DF	on	2/18/2010 10:28	2/18/2010 10:28
socst	6413	19th Century :: Asia :: China :: Politics :: General	DF	on	2/18/2010 10:28	2/18/2010 10:28
socst	6414	19th Century :: Asia :: China :: Society :: General	DF	on	2/18/2010 10:29	2/18/2010 10:29
socst	6415	19th Century :: Asia :: India :: Economics :: General	DF	on	2/18/2010 10:29	2/18/2010 10:29
socst	7408	19th Century :: Asia :: India :: Economics :: Industry and Commerce		on	7/6/2010 11:49	7/6/2010 11:49
socst	6416	19th Century :: Asia :: India :: Education	DF	on	2/18/2010 10:29	2/18/2010 10:29
socst	7410	19th Century :: Asia :: India :: Politics :: General		on	7/6/2010 11:50	7/6/2010 11:50
socst	6417	19th Century :: Asia :: India :: Science :: Technology :: Transportation	DF	on	2/18/2010 10:30	2/18/2010 10:30
socst	7464	19th Century :: Asia :: India :: Society :: General		on	7/6/2010 13:33	7/6/2010 13:33
socst	7417	19th Century :: Asia :: Japan :: Politics :: General		on	7/6/2010 13:01	7/6/2010 13:01
socst	7419	19th Century :: Asia :: Japan :: Politics :: International Relations		on	7/6/2010 13:02	7/6/2010 13:02
socst	7420	19th Century :: Asia :: Japan :: Society :: General		on	7/6/2010 13:02	7/6/2010 13:02
socst	7418	19th Century :: Asia :: Japan :: Society :: Religion		on	7/6/2010 13:02	7/6/2010 13:02
socst	7457	19th Century :: Asia :: Siberia :: Immigration :: General		on	7/6/2010 13:27	7/6/2010 13:27
socst	7416	19th Century :: Asia :: Southeast Asia :: Society :: Immigration		on	7/6/2010 13:00	7/6/2010 13:00
socst	7469	19th Century :: Asia :: Southeast Asia :: Territorial Expansion		on	7/6/2010 13:36	7/6/2010 13:36
socst	7470	19th Century :: Asia :: Thailand :: Territorial Expansion		on	7/6/2010 13:37	7/6/2010 13:37
socst	7394	19th Century :: Atlantic Ocean :: Society :: Slavery		on	7/6/2010 11:42	7/6/2010 11:42
socst	7458	19th Century :: Australia and New Zealand :: Society :: Immigration		on	7/6/2010 13:27	7/6/2010 13:29
socst	7433	19th Century :: Europe :: General :: Arts :: General		on	7/6/2010 13:14	7/6/2010 13:14
socst	6418	19th Century :: Europe :: General :: Economics :: General	DF	on	2/18/2010 10:30	2/18/2010 10:30
socst	7452	19th Century :: Europe :: General :: Economics :: Industry and Commerce		on	7/6/2010 13:24	7/6/2010 13:24
socst	7434	19th Century :: Europe :: General :: Education		on	7/6/2010 13:15	7/6/2010 13:15
socst	7428	19th Century :: Europe :: General :: Intellectual		on	7/6/2010 13:10	7/6/2010 13:10
socst	6428	19th Century :: Europe :: General :: Military	DF	on	2/18/2010 10:33	2/18/2010 10:33
socst	6419	19th Century :: Europe :: General :: Politics :: General	DF	on	2/18/2010 10:30	2/18/2010 10:30
socst	7451	19th Century :: Europe :: General :: Science :: General		on	7/6/2010 13:23	7/6/2010 13:23
socst	7462	19th Century :: Europe :: General :: Science :: Medicine		on	7/6/2010 13:32	7/6/2010 13:32
socst	6420	19th Century :: Europe :: General :: Science :: Technology :: General	DF	on	2/18/2010 10:30	2/18/2010 10:30
socst	6421	19th Century :: Europe :: General :: Science :: Technology :: Transportation	DF	on	2/18/2010 10:31	2/18/2010 10:31
socst	6422	19th Century :: Europe :: General :: Society :: General	DF	on	2/18/2010 10:31	2/18/2010 10:31
socst	7459	19th Century :: Europe :: General :: Society :: Immigration		on	7/6/2010 13:30	7/6/2010 13:30
socst	7427	19th Century :: Europe :: General :: Society :: Jews		on	7/6/2010 13:09	7/6/2010 13:09
socst	7426	19th Century :: Europe :: General :: Society :: Labor Movement		on	7/6/2010 13:08	7/6/2010 13:08
socst	6423	19th Century :: Europe :: General :: Society :: Religion	DF	on	2/18/2010 10:31	2/18/2010 10:31
socst	7429	19th Century :: Europe :: General :: Society :: Women		on	7/6/2010 13:10	7/6/2010 13:10
socst	7454	19th Century :: Europe :: General :: Territorial Expansion		on	7/6/2010 13:25	7/6/2010 13:25
socst	7391	19th Century :: Europe :: General :: Urbanism		on	7/6/2010 11:40	7/6/2010 11:40
socst	6424	19th Century :: Europe :: Germany :: Politics :: General	DF	on	2/18/2010 10:31	2/18/2010 10:31
socst	6425	19th Century :: Europe :: Great Britain :: Politics :: Law	DF	on	2/18/2010 10:32	2/18/2010 10:32
socst	6426	19th Century :: Europe :: Great Britain :: Society :: Slavery	DF	on	2/18/2010 10:32	2/18/2010 10:32
socst	6427	19th Century :: Europe :: Italy :: Politics :: General	DF	on	2/18/2010 10:32	2/18/2010 10:32
socst	7404	19th Century :: Europe :: Russia :: Politics :: General		on	7/6/2010 11:47	7/6/2010 11:47
socst	7403	19th Century :: Europe :: Russia :: Society :: General		on	7/6/2010 11:46	7/6/2010 11:46
socst	7402	19th Century :: Europe :: Russia :: Territorial Expansion		on	7/6/2010 11:46	7/6/2010 11:46
socst	7486	19th Century :: Global :: Economics :: Industry and Commerce		on	7/6/2010 13:46	7/6/2010 13:46
socst	7495	19th Century :: Global :: General :: Territorial Expansion		on	7/6/2010 13:50	7/6/2010 13:50
socst	7448	19th Century :: Global :: Science :: Economics :: Agriculture		on	7/6/2010 13:22	7/6/2010 13:22
socst	7449	19th Century :: Global :: Science :: Economics :: Industry and Commerce		on	7/6/2010 13:23	7/6/2010 13:23
socst	7447	19th Century :: Global :: Science :: Technology :: General		on	7/6/2010 13:22	7/6/2010 13:22
socst	7450	19th Century :: Global :: Science :: Technology :: Transportation		on	7/6/2010 13:23	7/6/2010 13:23
socst	7492	19th Century :: Global :: Society :: General		on	7/6/2010 13:49	7/6/2010 13:49
socst	7489	19th Century :: Global :: Society :: Immigration		on	7/6/2010 13:48	7/6/2010 13:48
socst	7498	19th Century :: Global :: Society :: Religion		on	7/6/2010 13:53	7/6/2010 13:53
socst	7446	19th Century :: Global :: Urbanism		on	7/6/2010 13:21	7/6/2010 13:21
socst	7400	19th Century :: Middle East :: Egypt :: Economics :: General		on	7/6/2010 11:45	7/6/2010 11:45
socst	7401	19th Century :: Middle East :: Egypt :: Military		on	7/6/2010 11:46	7/6/2010 11:46
socst	7399	19th Century :: Middle East :: Egypt :: Politics :: General		on	7/6/2010 11:45	7/6/2010 11:45
socst	6185	19th Century :: United States :: General :: Economics :: General	WGBH	on	2/17/2010 9:41	6/21/2010 15:04
socst	6186	19th Century :: United States :: General :: Economics :: Industry and Commerce	WGBH	on	2/17/2010 9:41	6/21/2010 15:04
socst	7223	19th Century :: United States :: General :: Environment		on	7/6/2010 9:08	7/6/2010 9:08
socst	6187	19th Century :: United States :: General :: Intellectual	WGBH	on	2/17/2010 9:41	6/21/2010 15:05
socst	6188	19th Century :: United States :: General :: Politics :: General	WGBH	on	2/17/2010 9:41	6/21/2010 15:05
socst	7453	19th Century :: United States :: General :: Science :: Technology :: General		on	7/6/2010 13:24	7/6/2010 13:25
socst	6189	19th Century :: United States :: General :: Science :: Technology :: Transportation	WGBH	on	2/17/2010 9:41	6/21/2010 15:05
socst	6190	19th Century :: United States :: General :: Society :: Immigration	WGBH	on	2/17/2010 9:41	6/21/2010 15:06
socst	6191	19th Century :: United States :: General :: Society :: Labor Movement	WGBH	on	2/17/2010 9:41	6/21/2010 15:06
socst	7236	19th Century :: United States :: General :: Society :: Native Americans		on	7/6/2010 9:27	7/6/2010 9:27
socst	7430	19th Century :: United States :: General :: Society :: Women		on	7/6/2010 13:11	7/6/2010 13:11
socst	6184	19th Century :: United States :: New England :: Economics :: Industry and Commerce	WGBH	on	2/17/2010 9:41	6/21/2010 15:04
socst	6429	20th Century :: Asia :: China :: Military	DF	on	2/18/2010 10:33	2/18/2010 10:33
socst	6430	20th Century :: Asia :: China :: Politics :: General	DF	on	2/18/2010 10:34	2/18/2010 10:34
socst	6431	20th Century :: Global :: Science :: General	DF	on	2/18/2010 10:34	2/18/2010 10:34
socst	6196	20th Century :: United States :: General :: Economics :: Industry and Commerce	WGBH	on	2/17/2010 9:41	6/21/2010 14:41
socst	6192	20th Century :: United States :: General :: Science :: General	WGBH	on	2/17/2010 9:41	6/21/2010 14:41
socst	6193	20th Century :: United States :: General :: Science :: Medicine	WGBH	on	2/17/2010 9:41	6/21/2010 14:41
socst	6194	20th Century :: United States :: General :: Society :: General	WGBH	on	2/17/2010 9:41	6/21/2010 14:42
socst	6195	20th Century :: United States :: General :: Society :: Immigration	WGBH	on	2/17/2010 9:41	6/21/2010 14:42
socst	6795	21st Century :: United States :: General :: Arts :: General		on	6/21/2010 16:04	6/21/2010 16:04
socst	6785	21st Century :: United States :: General :: Economics :: General		on	6/21/2010 15:22	6/21/2010 15:22
socst	6796	21st Century :: United States :: General :: Education		on	6/21/2010 16:05	6/21/2010 16:05
socst	6197	21st Century :: United States :: General :: Military	WGBH	on	2/17/2010 9:41	6/21/2010 15:18
socst	6198	21st Century :: United States :: General :: Politics :: General	WGBH	on	2/17/2010 9:41	6/21/2010 15:19
socst	6199	21st Century :: United States :: General :: Politics :: International Relations	WGBH	on	2/17/2010 9:41	6/21/2010 15:19
socst	6200	21st Century :: United States :: General :: Politics :: Law	WGBH	on	2/17/2010 9:41	6/21/2010 15:19
socst	6790	21st Century :: United States :: General :: Science :: Technology :: General		on	6/21/2010 15:50	6/21/2010 15:50
socst	6797	21st Century :: United States :: General :: Society :: Civil Rights		on	6/21/2010 16:06	6/21/2010 16:06
socst	6793	21st Century :: United States :: General :: Society :: General		on	6/21/2010 15:55	6/21/2010 15:55
socst	6789	21st Century :: United States :: General :: Society :: Immigration		on	6/21/2010 15:49	6/21/2010 15:49
socst	6787	21st Century :: United States :: General :: Society :: Labor Movement		on	6/21/2010 15:41	7/6/2010 9:05
socst	6794	21st Century :: United States :: General :: Society :: Religion		on	6/21/2010 16:02	6/21/2010 16:02
socst	6788	21st Century :: United States :: General :: Society :: Women		on	6/21/2010 15:49	6/21/2010 15:49
socst	7013	7th Century :: Middle East :: Society :: General		on	6/28/2010 10:16	6/28/2010 10:16
socst	7014	7th Century :: Middle East :: Society :: Politics		on	6/28/2010 10:17	6/28/2010 10:17
socst	6434	AD/CE :: Africa :: General :: Economics :: General	DF	on	2/18/2010 10:35	2/18/2010 10:35
socst	6435	AD/CE :: Africa :: General :: Politics :: General	DF	on	2/18/2010 10:35	2/18/2010 10:35
socst	6436	AD/CE :: Africa :: Mali :: Politics :: General	DF	on	2/18/2010 10:36	2/18/2010 10:36
socst	6437	AD/CE :: Africa :: Society :: Religion	DF	on	2/18/2010 10:36	2/18/2010 10:36
socst	6438	AD/CE :: Africa :: Songhay :: Politics :: General	DF	on	2/18/2010 10:37	2/18/2010 10:37
socst	7075	AD/CE :: Americas :: Andes Region :: Environment		on	6/28/2010 11:23	6/28/2010 11:23
socst	7068	AD/CE :: Americas :: Maya Area :: Arts :: Architecture		on	6/28/2010 11:19	6/28/2010 11:19
socst	7073	AD/CE :: Americas :: Maya Area :: Arts :: General		on	6/28/2010 11:22	6/28/2010 11:22
socst	7069	AD/CE :: Americas :: Maya Area :: Economics :: General		on	6/28/2010 11:20	6/28/2010 11:20
socst	7070	AD/CE :: Americas :: Maya Area :: Historical Thinking :: Issues		on	6/28/2010 11:20	6/28/2010 11:20
socst	7072	AD/CE :: Americas :: Maya Area :: Intellectual		on	6/28/2010 11:21	6/28/2010 11:21
socst	7074	AD/CE :: Americas :: Maya Area :: Science :: General		on	6/28/2010 11:22	6/28/2010 11:22
socst	7071	AD/CE :: Americas :: Maya Area :: Society :: General		on	6/28/2010 11:21	6/28/2010 11:21
socst	7077	AD/CE :: Americas :: Mexico :: Arts :: Architecture		on	6/28/2010 11:24	6/28/2010 11:24
socst	7079	AD/CE :: Americas :: Mexico :: Arts :: General		on	6/28/2010 11:25	6/28/2010 11:25
socst	7076	AD/CE :: Americas :: Mexico :: Arts :: Visual Art		on	6/28/2010 11:23	6/28/2010 11:23
socst	7080	AD/CE :: Americas :: Mexico :: Urbanism		on	6/28/2010 11:25	6/28/2010 11:26
socst	7078	AD/CE :: Americas :: Peru :: Historical Comprehension :: Archaeological Evidence		on	6/28/2010 11:24	6/28/2010 11:24
socst	7089	AD/CE :: Asia :: Central Asia :: Military		on	6/28/2010 11:34	6/28/2010 11:34
socst	7088	AD/CE :: Asia :: Central Asia :: Society :: Immigration		on	6/28/2010 11:33	6/28/2010 11:33
socst	6991	AD/CE :: Asia :: China :: Politics :: General		on	6/28/2010 10:02	6/28/2010 10:02
socst	6993	AD/CE :: Asia :: China :: Society :: Immigration		on	6/28/2010 10:03	6/28/2010 10:03
socst	6997	AD/CE :: Asia :: General :: Society :: Religion		on	6/28/2010 10:05	6/28/2010 10:05
socst	6995	AD/CE :: Asia :: General :: Territorial Expansion		on	6/28/2010 10:04	6/28/2010 10:04
socst	7001	AD/CE :: Asia :: India :: Arts :: General		on	6/28/2010 10:09	6/28/2010 10:09
socst	7003	AD/CE :: Asia :: India :: Politics :: General		on	6/28/2010 10:10	6/28/2010 10:10
socst	7002	AD/CE :: Asia :: India :: Science :: General		on	6/28/2010 10:09	6/28/2010 10:09
socst	6998	AD/CE :: Asia :: India :: Society :: Religion		on	6/28/2010 10:07	6/28/2010 10:07
socst	6999	AD/CE :: Asia :: India :: Society :: Women		on	6/28/2010 10:08	6/28/2010 10:08
socst	7000	AD/CE :: Asia :: India :: Territorial Expansion		on	6/28/2010 10:08	6/28/2010 10:08
socst	7007	AD/CE :: Asia :: Indonesia :: Politics :: General		on	6/28/2010 10:12	6/28/2010 10:12
socst	7046	AD/CE :: Asia :: Japan :: Society :: General		on	6/28/2010 10:43	6/28/2010 10:43
socst	7005	AD/CE :: Asia :: Southeast Asia :: Arts :: Architecture		on	6/28/2010 10:11	6/28/2010 10:11
socst	7006	AD/CE :: Asia :: Southeast Asia :: Politics :: General		on	6/28/2010 10:11	6/28/2010 10:11
