Standard	id	relevance	benchmark	text
	S1003BA7		"1. The student will know that scientific investigations involve the common elements of systematic observations, the careful collection of relevant evidence, logical reasoning and innovation in developing hypotheses and explanations."	I. History and Nature of Science: B. Scientific Inquiry: The student will understand that scientific inquiry is used by scientists to investigate the natural world in systematic ways.:
	S10259E4		1. The student will identify questions that can be answered through scientific investigation and those that cannot.	I. History and Nature of Science: B. Scientific Inquiry: The student will understand that scientific inquiry is used in systematic ways to investigate the natural world.:
	S100B285		"2. The student will identify men and women of various backgrounds and ages who have been involved in science and technology, both past and present."	I. History and Nature of Science: C. Scientific Enterprise: The student will recognize that science and technology involve different kinds of work and engages men and women of all backgrounds.:
	S1000994		"2. The student will observe that when a science investigation or experiment is repeated, a similar result is expected."	I. History and Nature of Science: B. Scientific Inquiry: The student will understand the process of scientific investigations.:
	S102473E		1. The student will know that current scientific knowledge and understanding guide scientific investigation.	I. History and Nature of Science: A. Scientific World View: The student will understand that communication is essential to science.:

NSES	S10245A5	Inquiry / 9-12	"Results of scientific inquiry--new knowledge and methods--emerge from different types of investigations and public communication among scientists. In communicating and defending the results of scientific inquiry, arguments must be logical and demonstrate connections between natural phenomena, investigations, and the historical body of scientific knowledge. In addition, the methods and procedures that scientists used to obtain evidence must be clearly reported to enhance opportunities for further investigation."	"Science as Inquiry: Content Standard A:As a result of activities in grades 9-12, all students should develop  -Abilities necessary to do scientific inquiry -Understandings about scientific inquiry: Understandings About Scientific Inquiry"

	S1021FFF	1	"3. The student will recognize that in order to be valid, scientific knowledge must meet certain criteria including that it: be consistent with experimental, observational and inferential evidence about nature; follow rules of logic and reporting both methods and procedures; and, be falsifiable and open to criticism."	I. History and Nature of Science: A. Scientific World View: The student will understand the nature of scientific ways of thinking and that scientific knowledge changes and accumulates over time.:
	S100D813		6. The student will give examples of how different domains of science use different bodies of scientific knowledge and employ different methods to investigate questions.	I. History and Nature of Science: B. Scientific Inquiry: The student will design and conduct a scientific investigation.:
	S1015355		"1. The student will design and complete a scientific experiment using scientific methods by determining a testable question, making a hypothesis, designing a scientific investigation with appropriate controls, analyzing data, making conclusions based on evidence and comparing conclusions to the original hypothesis and prior knowledge."	I. History and Nature of Science: B. Scientific Inquiry: The student will design and conduct a scientific investigation.:
	S100431E		5. The student will know that professional scientists and engineers have ethical codes.	I. History and Nature of Science: B. Scientific Inquiry: The student will design and conduct a scientific investigation.:
	S1015F61		"1. The student will relate the structure, complexity and organization of organ systems to the methods of obtaining, transforming, releasing and eliminating the matter and energy used to sustain the organism."	"IV. Life Science: B. Diversity of Organisms: The student will classify, compare and contrast the diversity of organisms on Earth and their modes of accommodating the requirements for life.:"

NSES	S1015516	Inquiry / 9-12	"Use technology and mathematics to improve investigations and communications. A variety of technologies, such as hand tools, measuring instruments, and calculators, should be an integral component of scientific investigations. The use of computers for the collection, analysis, and display of data is also a part of this standard. Mathematics plays an essential role in all aspects of an inquiry. For example, measurement is used for posing questions, formulas are used for developing explanations, and charts and graphs are used for communicating results."	"Science as Inquiry: Content Standard A:As a result of activities in grades 9-12, all students should develop  -Abilities necessary to do scientific inquiry -Understandings about scientific inquiry: Abilities Necessary to Do Scientific Inquiry"

	S101C56E	1	3. The student will apply mathematics and models to analyze data and support conclusions.	I. History and Nature of Science: B. Scientific Inquiry: The student will design and conduct a scientific investigation.:
	S1015355		"1. The student will design and complete a scientific experiment using scientific methods by determining a testable question, making a hypothesis, designing a scientific investigation with appropriate controls, analyzing data, making conclusions based on evidence and comparing conclusions to the original hypothesis and prior knowledge."	I. History and Nature of Science: B. Scientific Inquiry: The student will design and conduct a scientific investigation.:
	S100DCD5		3. The student will provide an example of how technology facilitates new discoveries and the development of scientific knowledge.	I. History and Nature of Science: C. Scientific Enterprise: The student will understand the relationship between science and technology and how both are used.:
	S10164C4		"1. The student will compare and contrast the purposes and career opportunities of engineering, technology and science."	I. History and Nature of Science: C. Scientific Enterprise: The student will understand the relationship between science and technology and how both are used.:
	S1013CFB		2. The student will provide an example of a need or problem identified by science and solved by engineering or technology.	I. History and Nature of Science: C. Scientific Enterprise: The student will understand the relationship between science and technology and how both are used.:

NSES	S101AD47	Subject / K-4	"The sun, moon, stars, clouds, birds, and airplanes all have properties, locations, and movements that can be observed and described."	"Earth and Space Science: Content Standard D:As a result of their activities in grades K-4, all students should develop an understanding of -Properties of earth materials -Objects in the sky -Changes in earth and sky: Objects in the Sky"

	S10020E4	1	1. The student will observe and describe the changes in the position of the sun and the moon.	III. Earth and Space Science: C. The Universe: Student will recognize the changes that occur in the sky in a 24-hour day.:
	S1026758	1	1. The student will recognize that the stars in the sky appear to slowly move from east to west.	III. Earth and Space Science: C. The Universe: The student will identify the patterns and movements of celestial objects.:
	S1009C88		2. The student will identify the sun as an average -sized star and that the other stars are so far away that they look like points of light.	III. Earth and Space Science: C. The Universe: The student will identify the patterns and movements of celestial objects.:
	S1020959		3. The student will observe that the sun supplies heat and light to the Earth.	III. Earth and Space Science: C. The Universe: The student will understand the characteristics and relationships of objects in the solar system.:
	S1022A53	3	"4. The student will know that planets look like stars, but over time they move differently than stars."	III. Earth and Space Science: C. The Universe: The student will understand the characteristics and relationships of objects in the solar system.:

NSES	S101079B	Subject / K-4	"Plants and animals have life cycles that include being born, developing into adults, reproducing, and eventually dying. The details of this life cycle are different for different organisms."	"Life Science: Content Standard C:As a result of activities in grades K-4, all students should develop understanding of -The characteristics of organisms -Life cycles of organisms -Organisms and environments: Life Cycles of Organisms"

	S1020861	1	1. The student will describe life cycles of plants and animals.	IV. Life Science: B. Diversity of Organisms: The student will recognize that plants and animals have life cycles.:
	S101F899		"1. The student will describe the structures that serve different functions in growth, survival and reproduction for plants and animals."	IV. Life Science: B. Diversity of Organisms: The student will recognize that plants and animals have different structures that serve various functions.:
	S1015F92		2. The student will match adult animals and plants to their offspring.	IV. Life Science: D. Heredity: The student will understand that there is variation among individuals of one kind within a population.:
	S100D63D	1	1. The student will observe and describe how plants and animals grow and change.	IV. Life Science: B. Organisms: The student will observe plant and animal life cycles.:
	S100EE0E		1. The student will classify plants and animals according to their physical characteristics.	"IV. Life Science: B. Diversity of Organisms: The student will know that living things can be sorted into groups in many ways according to their varied characteristics, structures and behaviors.:"

NSES	S1023464	Subject / K-4	"Organisms have basic needs. For example, animals need air, water, and food; plants require air, water, nutrients, and light. Organisms can survive only in environments in which their needs can be met. The world has many different environments, and distinct environments support the life of different types of organisms."	"Life Science: Content Standard C:As a result of activities in grades K-4, all students should develop understanding of -The characteristics of organisms -Life cycles of organisms -Organisms and environments: The Characteristics of Organisms"

	S100386F	1	"1. The student will know that animals need air, water and food and that plants require air, water, nutrients and light."	IV. Life Science: F. Flow of Matter and Energy: The student will understand that organisms have basic needs.:
	S102509F	1	"1. The student will know that people need water, food, air, waste removal and a particular range of temperature in their environment, just like other animals."	IV. Life Science: G. Human Organism: The student will recognize that people have basic needs.:
	S10032E9	1	1. The student will observe and describe some features of plants and animals that allow them to live in specific environments.	IV. Life Science: C. Interdependence of Life: The student will understand that organisms live in different environments.:
	S1000DD6		"2. The student will recognize that cells need: food, water and air, a way to dispose of waste, and an environment in which they can live."	"IV. Life Science: A. Cells: The student will know that all organisms are composed of cells, which are the fundamental units of life.:"
	S100810F		"1. The student will observe and describe rocks, soils, water and air."	III. Earth and Space Science: A. Earth Structure and Processes: The student will recognize basic Earth materials.:

NSES	S1008E99	Subject / K-4	"Weather changes from day to day and over the seasons. Weather can be described by measurable quantities, such as temperature, wind direction and speed, and precipitation."	"Earth and Space Science: Content Standard D:As a result of their activities in grades K-4, all students should develop an understanding of -Properties of earth materials -Objects in the sky -Changes in earth and sky: Changes in the Earth and Sky"

	S10001F0	1	1. The student will describe daily and seasonal changes in weather.	"III. Earth and Space Science: B. The Water Cycle, Weather and Climate: The student will observe weather changes.:"
	S101AC15	1	"1. The student will observe, record and describe characteristics in daily weather and seasonal cycles."	"III. Earth and Space Science: B. The Water Cycle, Weather and Climate: The student will investigate weather cycles.:"
	S10188D7		"1. The student will recognize the difference between rotation and revolution and their connection to day, night, seasons and the year."	III. Earth and Space Science: C. The Universe: The student will understand the characteristics and relationships of objects in the solar system.:
	S1012D2A		"1. The student will describe the water cycle involving the processes of evaporation, condensation, precipitation and collection."	"III. Earth and Space Science: B. The Water Cycle, Weather and Climate: The student will recognize that water on Earth cycles and exists in many forms.:"
	S1020A62		"1. The student will observe and describe how objects move in a variety of ways, including, but not limited to, a straight line, a curve, a circle, back and forth and at different speeds."	II. Physical Science: D. Motion: The student will know that objects move in various ways.:

NSES	S1011F03	Subject / K-4	"Earth materials are solid rocks and soils, water, and the gases of the atmosphere. The varied materials have different physical and chemical properties, which make them useful in different ways, for example, as building materials, as sources of fuel, or for growing the plants we use as food. Earth materials provide many of the resources that humans use."	"Earth and Space Science: Content Standard D:As a result of their activities in grades K-4, all students should develop an understanding of -Properties of earth materials -Objects in the sky -Changes in earth and sky: Properties of Earth Materials"

	S100810F	1	"1. The student will observe and describe rocks, soils, water and air."	III. Earth and Space Science: A. Earth Structure and Processes: The student will recognize basic Earth materials.:
	S100386F		"1. The student will know that animals need air, water and food and that plants require air, water, nutrients and light."	IV. Life Science: F. Flow of Matter and Energy: The student will understand that organisms have basic needs.:
	S100138B		1. The student will know that organisms interact with one another in various ways besides providing food.	IV. Life Science: C. Interdependence of Life: The student will understand that an organism’s patterns of behavior are related to the nature of its environment.:
	S1000DD6		"2. The student will recognize that cells need: food, water and air, a way to dispose of waste, and an environment in which they can live."	"IV. Life Science: A. Cells: The student will know that all organisms are composed of cells, which are the fundamental units of life.:"
	S102509F		"1. The student will know that people need water, food, air, waste removal and a particular range of temperature in their environment, just like other animals."	IV. Life Science: G. Human Organism: The student will recognize that people have basic needs.:

NSES	S10180F9	Subject / 5-8	"Some changes in the solid earth can be described as the ""rock cycle."" Old rocks at the earth's surface weather, forming sediments that are buried, then compacted, heated, and often recrystallized into new rock. Eventually, those new rocks may be brought to the surface by the forces that drive plate motions, and the rock cycle continues."	"Earth and Space Science: Content Standard D:As a result of their activities in grades 5-8, all students should develop an understanding of -Structure of the earth system -Earth's history -Earth in the solar system: Structure of the Earth System"

	S10178EE	1	3. The student will describe the various processes and interactions of the rock cycle.	"III. Earth and Space Science: A. Earth Structure and Processes: The student will identify Earth’s composition, structure and processes.:"
	S100CF1E	1	"2. The student will describe how features on the Earth’s surface are created and constantly changing through a combination of slow and rapid processes of weathering, erosion, sediment deposition, landslides, volcanic eruptions and earthquakes."	"III. Earth and Space Science: A. Earth Structure and Processes: The student will identify Earth’s composition, structure and processes.:"
	S100CB3E		1. The student will recognize the natural processes that cause rocks to break down into smaller pieces and eventually into soil.	III. Earth and Space Science: A. Earth Structure and Processes: The student will explore the structures and functions of Earth systems.:
	S10060D7		"2. The student will demonstrate that the greater the force applied, the greater the change in motion."	II. Physical Science: D. Motion: The student will understand that changes in speed or direction of motion are caused by forces.:
	S101FF38		2. The student will identify the forces that create currents and layers in the Earth’s atmosphere and water systems.	"III. Earth and Space Science: B. The Water Cycle, Weather and Climate: The student will investigate how the atmosphere interacts with the Earth system.:"

NSES	S100A55F	Subject / 5-8	"Millions of species of animals, plants, and microorganisms are alive today. Although different species might look dissimilar, the unity among organisms becomes apparent from an analysis of internal structures, the similarity of their chemical processes, and the evidence of common ancestry."	"Life Science: Content Standard C:As a result of their activities in grades 5-8, all students should develop understanding of -Structure and function in living systems -Reproduction and heredity -Regulation and behavior -Populations and ecosystems -Diversity and adaptations of organisms: Diversity and Adaptations of Organisms"

	S10002DD	2	4. The student will recognize that scientific evidence can be used to infer common ancestry among some organisms.	"IV. Life Science: E. Biological Populations Change Over Time: The student will understand how biological evolution provides a scientific explanation for the fossil record of ancient life forms, as well as for the striking similarities observed among the diverse species of living organisms.:"
	S100C5E1		3. The student will distinguish between plant and animal cells.	IV. Life Science: A. Cells: The student will understand that all organisms are composed of cells that carry on the many functions needed to sustain life.:
	S1007C81		"1. The student will recognize that organisms need energy to stay alive and grow, and that this energy originates from the sun."	"IV. Life Science: F. Flow of Matter and Energy: The student will know that matter and energy flow into, out of, and within a biological system.:"
	S100E037		5. The student will comprehend that reproduction is essential for the continuation of a species.	IV. Life Science: D. Heredity: The student will understand that heredity information is contained in genes which are inherited through both sexual and asexual reproduction.:
	S1003E1F		2. The student will recognize that extinction of a species occurs when the environment changes and the adaptive characteristics of a species are insufficient to allow its survival.	IV. Life Science: E. Biological Populations Change Over Time: The student will know that biological populations change over time.:

NSES	S101F737	Subject / 5-8	"All organisms must be able to obtain and use resources, grow, reproduce, and maintain stable internal conditions while living in a constantly changing external environment."	"Life Science: Content Standard C:As a result of their activities in grades 5-8, all students should develop understanding of -Structure and function in living systems -Reproduction and heredity -Regulation and behavior -Populations and ecosystems -Diversity and adaptations of organisms: Regulation and Behavior"

	S100EB6B	1	"2. The student will recognize that an organism’s body plan and its ability to regulate its internal environment enable it to make or find food, grow and reproduce in a constantly changing environment."	"IV. Life Science: B. Diversity of Organisms: The student will understand that living systems, at every level of organization, demonstrate the complementary nature of structure and function.:"
	S101A2EA		"3. The student will recognize that organisms are growing, dying and decaying, and that their matter is recycled."	"IV. Life Science: F. Flow of Matter and Energy: The student will know that matter and energy flow into, out of, and within a biological system.:"
	S1007C81		"1. The student will recognize that organisms need energy to stay alive and grow, and that this energy originates from the sun."	"IV. Life Science: F. Flow of Matter and Energy: The student will know that matter and energy flow into, out of, and within a biological system.:"
	S100A0B6		"4. The student will explain the factors that affect the number and types of organisms an ecosystem can support, including available resources, abiotic and biotic factors and disease."	"IV. Life Science: C. Interdependence of Life: The student will understand that within ecosystems, complex interactions exist between organisms and the physical environment.:"
	S10002DD		4. The student will recognize that scientific evidence can be used to infer common ancestry among some organisms.	"IV. Life Science: E. Biological Populations Change Over Time: The student will understand how biological evolution provides a scientific explanation for the fossil record of ancient life forms, as well as for the striking similarities observed among the diverse species of living organisms.:"

NSES	S100E78A	Subject / 5-8	"Most objects in the solar system are in regular and predictable motion. Those motions explain such phenomena as the day, the year, phases of the moon, and eclipses."	"Earth and Space Science: Content Standard D:As a result of their activities in grades 5-8, all students should develop an understanding of -Structure of the earth system -Earth's history -Earth in the solar system: Earth in the Solar System"

	S1011545	1	"4. The student will use the predictability of the motions of the Earth, and sun to explain the length of day, length of year, phases of the moon, eclipses, tides and shadows."	III. Earth and Space Science: C. The Universe: The student will compare objects in the solar system and explain their interactions with the Earth.:
	S1024ABE		"3. The student will compare and contrast the planets, taking into account their composition, mass and distance from the sun and recognize the conditions that have allowed life to flourish on Earth."	III. Earth and Space Science: C. The Universe: The student will compare objects in the solar system and explain their interactions with the Earth.:
	S1025B48		1. The student will recognize that the sun is the principal energy source for the solar system and that this energy is transferred in the form of radiation.	III. Earth and Space Science: C. The Universe: The student will compare objects in the solar system and explain their interactions with the Earth.:
	S10060D7		"2. The student will demonstrate that the greater the force applied, the greater the change in motion."	II. Physical Science: D. Motion: The student will understand that changes in speed or direction of motion are caused by forces.:
	S10233CA		2. The student will recognize that the sun is a medium-sized star and is the closest star to Earth. It is the central and largest body in the solar system and is one of billions of stars in the Milky Way Galaxy.	III. Earth and Space Science: C. The Universe: The student will describe the composition and structure of the universe.:

NSES	S10070A0	Subject / 5-8	"Energy is a property of many substances and is associated with heat, light, electricity, mechanical motion, sound, nuclei, and the nature of a chemical. Energy is transferred in many ways."	"Physical Science: Content Standard B:As a result of their activities in grades 5-8, all students should develop an understanding of -Properties and changes of properties in matter -Motions and forces -Transfer of energy: Transfer of Energy"

	S1020B99	1	"1. The student will compare and contrast heat, chemical, mechanical and electrical energy and identify transformations of energy from one form to another in everyday situations."	II. Physical Science: A. Structure of Matter: The student will understand that matter is made of small particles and this explains the properties of matter.:
	S10040AC		4. The student will recognize the relationship between light and heat.	II. Physical Science: A. Structure of Matter: The student will understand that matter is made of small particles and this explains the properties of matter.:
	S10157D8		1. The student will know that plants use the energy in light to make sugars out of carbon dioxide and water.	IV. Life Science: F. Flow of Matter and Energy: The student will understand how the flow of energy and the recycling of matter contribute to a stable ecosystem.:
	S1013A63		2. The student will explain how energy is transferred through food chains and food webs in an ecosystem.	IV. Life Science: F. Flow of Matter and Energy: The student will understand how the flow of energy and the recycling of matter contribute to a stable ecosystem.:
	S1025B48		1. The student will recognize that the sun is the principal energy source for the solar system and that this energy is transferred in the form of radiation.	III. Earth and Space Science: C. The Universe: The student will compare objects in the solar system and explain their interactions with the Earth.:

NSES	S101427D	Subject / 5-8	A population consists of all individuals of a species that occur together at a given place and time. All populations living together and the physical factors with which they interact compose an ecosystem.	"Life Science: Content Standard C:As a result of their activities in grades 5-8, all students should develop understanding of -Structure and function in living systems -Reproduction and heredity -Regulation and behavior -Populations and ecosystems -Diversity and adaptations of organisms: Populations and Ecosystems"

	S1003558	1	3. The student will define an ecosystem as all populations living together and the physical factors with which they interact.	"IV. Life Science: C. Interdependence of Life: The student will understand that within ecosystems, complex interactions exist between organisms and the physical environment.:"
	S102515B	1	2. The student will define a population as all individuals of a species that exist together at a given place and time.	"IV. Life Science: C. Interdependence of Life: The student will understand that within ecosystems, complex interactions exist between organisms and the physical environment.:"
	S1014844		1. The student will recognize that individuals of the same species differ in their characteristics and that sometimes the differences give individuals an advantage in surviving and reproducing.	IV. Life Science: E. Biological Populations Change Over Time: The student will know that biological populations change over time.:
	S100A7F7		6. The student will describe climate changes that have occurred over time.	"III. Earth and Space Science: B. The Water Cycle, Weather and Climate: The student will investigate how the atmosphere interacts with the Earth system.:"
	S1003E1F		2. The student will recognize that extinction of a species occurs when the environment changes and the adaptive characteristics of a species are insufficient to allow its survival.	IV. Life Science: E. Biological Populations Change Over Time: The student will know that biological populations change over time.:

NSES	S10134F3	Subject / 5-8	"Biological evolution accounts for the diversity of species developed through gradual processes over many generations. Species acquire many of their unique characteristics through biological adaptation, which involves the selection of naturally occurring variations in populations. Biological adaptations include changes in structures, behaviors, or physiology that enhance survival and reproductive success in a particular environment."	"Life Science: Content Standard C:As a result of their activities in grades 5-8, all students should develop understanding of -Structure and function in living systems -Reproduction and heredity -Regulation and behavior -Populations and ecosystems -Diversity and adaptations of organisms: Diversity and Adaptations of Organisms"

	S100E08C	1	"3. The student will explain how biological adaptations in structure, function and behavior enhance the reproductive success and survival of a species in a particular environment."	"IV. Life Science: E. Biological Populations Change Over Time: The student will understand how biological evolution provides a scientific explanation for the fossil record of ancient life forms, as well as for the striking similarities observed among the diverse species of living organisms.:"
	S1004789	1	5. The student will explain how diversity of species develops through gradual processes over generations.	"IV. Life Science: E. Biological Populations Change Over Time: The student will understand how biological evolution provides a scientific explanation for the fossil record of ancient life forms, as well as for the striking similarities observed among the diverse species of living organisms.:"
	S1014844	1	1. The student will recognize that individuals of the same species differ in their characteristics and that sometimes the differences give individuals an advantage in surviving and reproducing.	IV. Life Science: E. Biological Populations Change Over Time: The student will know that biological populations change over time.:
	S1003E1F	3	2. The student will recognize that extinction of a species occurs when the environment changes and the adaptive characteristics of a species are insufficient to allow its survival.	IV. Life Science: E. Biological Populations Change Over Time: The student will know that biological populations change over time.:
	S102515B		2. The student will define a population as all individuals of a species that exist together at a given place and time.	"IV. Life Science: C. Interdependence of Life: The student will understand that within ecosystems, complex interactions exist between organisms and the physical environment.:"

NSES	S100A83D	Subject / 5-8	"Clouds, formed by the condensation of water vapor, affect weather and climate."	"Earth and Space Science: Content Standard D:As a result of their activities in grades 5-8, all students should develop an understanding of -Structure of the earth system -Earth's history -Earth in the solar system: Structure of the Earth System"

	S1022E66		5. The student will identify the composition and structures of the atmosphere.	"III. Earth and Space Science: B. The Water Cycle, Weather and Climate: The student will investigate how the atmosphere interacts with the Earth system.:"
	S102314E		"5. The student will explore the interaction of the lithosphere, atmosphere, biosphere, hydrosphere and space."	III. Earth and Space Science: A. Earth Structure and Processes: The student will explore the structures and functions of Earth systems.:
	S1019475		"1. The student will define radiation, conduction and convection and explain their effects on weather and climate."	"III. Earth and Space Science: B. The Water Cycle, Weather and Climate: The student will investigate how the atmosphere interacts with the Earth system.:"
	S1015BDA		4. The student will collect and use data to predict the weather.	"III. Earth and Space Science: B. The Water Cycle, Weather and Climate: The student will investigate how the atmosphere interacts with the Earth system.:"
	S100A7F7		6. The student will describe climate changes that have occurred over time.	"III. Earth and Space Science: B. The Water Cycle, Weather and Climate: The student will investigate how the atmosphere interacts with the Earth system.:"

NSES	S101AB56	Subject / 9-12	"Interactions among the solid earth, the oceans, the atmosphere, and organisms have resulted in the ongoing evolution of the earth system. We can observe some changes such as earthquakes and volcanic eruptions on a human time scale, but many processes such as mountain building and plate movements take place over hundreds of millions of years."	"Earth and Space Science: Content Standard D:As a result of their activities in grades 9-12, all students should develop an understanding of -Energy in the earth system -Geochemical cycles -Origin and evolution of the earth system -Origin and evolution of the universe: The Origin and Evolution of the Earth System"

	S101A20C	1	"4. The student will use the theory of plate tectonics to analyze relationships among earthquakes, volcanoes, mountains fossil deposits, rock layers and ocean features."	"III. Earth and Space Science: A. Earth Structure and Processes: The student will understand that the interactions of the atmosphere, biosphere, lithosphere, hydrosphere and space have resulted in ongoing change of the Earth system over geologic time.:"
	S1005C9A		"4. The student will predict and analyze how a change in an ecosystem, resulting from natural causes, changes in climate, human activity or introduction of invasive species, can affect both the number of organisms in a population and the biodiversity of species in the ecosystem."	IV. Life Science: C. Interdependence of Life: The student will describe how the environment and interactions between organisms can affect the number of species and the diversity of species in an ecosystem.:
	S1000B1F		1. The student will understand that species change over time and the term biological evolution is used to describe this process.	"IV. Life Science: E. Biological Populations Change Over Time: The student will understand how biological evolution provides a scientific explanation for the fossil record of ancient life forms, as well as for the striking similarities observed among the diverse species of living organisms.:"
	S10187FE		"2. The student will trace the cyclical movement of carbon and water through the lithosphere, hydrosphere, atmosphere and biosphere."	"III. Earth and Space Science: B. The Water Cycle, Weather and Climate: The student will explain the causes and effects of the Earth’s atmospheric and hydrologic processes.:"
	S1017A37		2. The student will apply the laws of thermodynamics to explain the cycling of materials and transfer of energy in the Earth system.	"III. Earth and Space Science: A. Earth Structure and Processes: The student will understand that the interactions of the atmosphere, biosphere, lithosphere, hydrosphere and space have resulted in ongoing change of the Earth system over geologic time.:"

NSES	S101FB5D	Subject / 9-12	"Global climate is determined by energy transfer from the sun at and near the earth's surface. This energy transfer is influenced by dynamic processes such as cloud cover and the earth's rotation, and static conditions such as the position of mountain ranges and oceans."	"Earth and Space Science: Content Standard D:As a result of their activities in grades 9-12, all students should develop an understanding of -Energy in the earth system -Geochemical cycles -Origin and evolution of the earth system -Origin and evolution of the universe: Energy in the Earth System"

	S10158A5		"1. The student will explain how the sun, Earth and solar system formed."	III. Earth and Space Science: C. The Universe: The student will relate the formation and components of our solar system to the conditions necessary for life.:
	S100C80A		"3. The student will demonstrate the effect of the Earth’s tilt, rotation and revolution on the seasons, day length and tides."	"III. Earth and Space Science: B. The Water Cycle, Weather and Climate: The student will explain the causes and effects of the Earth’s atmospheric and hydrologic processes.:"
	S1024239	1	"1. The student will explain how the transfer of energy and motions of the Earth contribute to global climatic processes including wind, waves and ocean currents."	"III. Earth and Space Science: B. The Water Cycle, Weather and Climate: The student will explain the causes and effects of the Earth’s atmospheric and hydrologic processes.:"
	S1017A37		2. The student will apply the laws of thermodynamics to explain the cycling of materials and transfer of energy in the Earth system.	"III. Earth and Space Science: A. Earth Structure and Processes: The student will understand that the interactions of the atmosphere, biosphere, lithosphere, hydrosphere and space have resulted in ongoing change of the Earth system over geologic time.:"
	S1014BCF		1. The student will identify the internal and external sources of energy for the Earth.	"III. Earth and Space Science: A. Earth Structure and Processes: The student will understand that the interactions of the atmosphere, biosphere, lithosphere, hydrosphere and space have resulted in ongoing change of the Earth system over geologic time.:"

